,context,loss,params
0,2.135068261712696,5.67145762818818,7
1,3.396975674854875,4.703963891061202,7
2,5.404718875966568,3.9727780576482625,7
3,8.599115485122592,3.34514120539374,7
4,13.576040010664132,2.7494968353465348,7
5,21.600001510063358,2.4739856531117845,7
6,34.36643269084734,2.253107019185151,7
7,54.67831543179723,2.058148169308335,7
8,86.32457597552673,1.8519130400109565,7
9,137.34571863093225,1.7806900974507098,7
10,218.52231781127077,1.8077534851235078,7
11,347.67740747657774,1.748748306281974,7
12,548.9032450921546,1.6613241167223403,7
13,873.326162382842,1.651330582296661,7
14,1389.4954943731361,1.6364528834535221,7
15,2210.7407427431235,1.5830389662084277,7
0,2.135068261712696,5.387927639918842,70
1,3.396975674854875,4.441919630986654,70
2,5.404718875966568,3.650980098708243,70
3,8.532817105836056,2.964882889084697,70
4,13.576040010664132,2.364528674549281,70
5,21.600001510063358,2.058148169308335,70
6,34.36643269084734,1.8857391883332701,70
7,54.67831543179723,1.701906715025687,70
8,86.99530164663707,1.5782704754529915,70
9,137.34571863093225,1.503898990395478,70
10,218.52231781127077,1.5359952662433745,70
11,347.67740747657774,1.5130002972412333,70
12,553.1681197617227,1.4158433721949366,70
13,873.326162382842,1.403087300499544,70
14,1389.4954943731361,1.4073265034280422,70
15,2210.7407427431235,1.3696301622216445,70
0,8.532817105836056,3.0649221254266004,13
1,13.576040010664132,2.488957737477002,13
2,21.600001510063358,2.186150682125697,13
3,34.36643269084734,2.0151409460246823,13
4,54.256750713714545,1.8463346364468831,13
5,86.99530164663707,1.696780166273288,13
6,137.34571863093225,1.61682425076669,13
7,218.52231781127077,1.6563198124307354,13
8,347.67740747657774,1.6364528834535221,13
9,548.9032450921546,1.5313684823272344,13
10,873.326162382842,1.5084427796536233,13
11,1389.4954943731361,1.5313684823272344,13
12,2210.7407427431235,1.4724734008094114,13
0,2210.7407427431235,1.4417044827731889,34
1,1389.4954943731361,1.4680379598952795,34
2,873.326162382842,1.454811639925331,34
3,553.1681197617227,1.4680379598952795,34
4,347.67740747657774,1.5687765421676607,34
5,218.52231781127077,1.5974310560964657,34
6,137.34571863093225,1.554642615746889,34
7,86.99530164663707,1.6413971630100512,34
8,54.67831543179723,1.7646469312386575,34
9,34.36643269084734,1.9434946713988266,34
10,21.600001510063358,2.1147945967772817,34
11,13.576040010664132,2.422289057613663,34
